"student_id","student_name","student_grade","subject","skill_id","subskill_id","score","attempt_timestamp","curriculum_grade","unit_id","unit_title","skill_description","subskill_description","difficulty_start","difficulty_end","target_difficulty"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-01-27 16:57:07.366302-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-01-27 16:57:07.366302-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-01-27 16:57:07.366302-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-01-27 16:57:07.366302-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","3.00","2025-02-26 21:22:13.546428-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","3.00","2025-02-26 21:22:13.546428-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","3.00","2025-02-26 21:22:13.546428-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","3.00","2025-02-26 21:22:13.546428-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","4.00","2025-02-27 01:24:53.258971-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","4.00","2025-02-27 01:24:53.258971-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","4.00","2025-02-27 01:24:53.258971-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","4.00","2025-02-27 01:24:53.258971-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-27 01:42:18.543588-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-27 01:42:18.543588-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-27 01:42:18.543588-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-27 01:42:18.543588-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:44:51.09657-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:44:51.09657-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:44:51.09657-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:44:51.09657-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","8.00","2025-02-28 22:46:04.875705-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","8.00","2025-02-28 22:46:04.875705-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","8.00","2025-02-28 22:46:04.875705-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","8.00","2025-02-28 22:46:04.875705-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:48:40.253816-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:48:40.253816-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:48:40.253816-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-02-28 22:48:40.253816-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","9.00","2025-03-02 02:31:41.061467-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","9.00","2025-03-02 02:31:41.061467-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","9.00","2025-03-02 02:31:41.061467-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","9.00","2025-03-02 02:31:41.061467-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","7.00","2025-03-02 19:04:45.63242-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","7.00","2025-03-02 19:04:45.63242-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","7.00","2025-03-02 19:04:45.63242-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","7.00","2025-03-02 19:04:45.63242-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
1,"Student 1","Kindergarten","Mathematics","COUNT001-01","COUNT001-01-A","10.00","2025-03-02 19:05:45.155576-05","Kindergarten","COUNT001","Counting and Cardinality","Know number names and the count sequence","Count and recognize numbers 0-10, including matching spoken words to written numerals","1.00","3.00","2.00"
